frame_index,x_centroid,y_centroid,visibility_flag
0,1246,384,1
1,,,0
2,,,0
3,1245,385,1
4,1244,386,1
5,1243,386,1
6,,,0
7,,,0
8,,,0
9,1236,393,1
10,1236,393,1
11,1235,392,1
12,,,0
13,1233,392,1
14,1232,393,1
15,1232,393,1
16,,,0
17,1232,392,1
18,1232,392,1
19,,,0
20,1232,392,1
21,1232,392,1
22,1232,392,1
23,1233,392,1
24,1233,393,1
25,1233,393,1
26,1233,394,1
27,,,0
28,1233,395,1
29,,,0
30,,,0
31,,,0
32,,,0
33,,,0
34,,,0
35,,,0
36,,,0
37,,,0
38,,,0
39,,,0
40,,,0
41,,,0
42,,,0
43,,,0
44,,,0
45,,,0
46,,,0
47,,,0
48,,,0
49,,,0
50,,,0
51,,,0
52,,,0
53,,,0
54,,,0
55,,,0
56,,,0
57,,,0
58,,,0
59,,,0
60,,,0
61,,,0
62,,,0
63,,,0
64,,,0
65,,,0
66,,,0
67,,,0
68,,,0
69,,,0
70,,,0
71,,,0
72,,,0
73,,,0
74,,,0
75,,,0
76,,,0
77,,,0
78,,,0
79,,,0
80,,,0
81,,,0
82,,,0
83,,,0
84,,,0
85,,,0
86,,,0
87,,,0
88,,,0
89,,,0
90,,,0
91,,,0
92,,,0
93,,,0
94,,,0
95,,,0
96,,,0
97,,,0
98,,,0
99,,,0
100,,,0
101,,,0
102,,,0
103,,,0
104,,,0
105,,,0
106,,,0
107,,,0
108,1686,868,1
109,1686,868,1
110,1686,865,1
111,1687,864,1
112,1688,864,1
113,1689,864,1
114,,,0
115,1691,866,1
116,,,0
117,1689,867,1
118,,,0
119,,,0
120,,,0
121,,,0
122,,,0
123,,,0
124,,,0
125,,,0
126,,,0
127,,,0
128,,,0
129,,,0
130,,,0
131,,,0
132,,,0
133,,,0
134,,,0
135,,,0
136,,,0
137,,,0
138,,,0
139,,,0
140,,,0
141,,,0
142,,,0
143,,,0
144,,,0
145,,,0
146,,,0
147,,,0
148,,,0
149,,,0
150,,,0
151,,,0
152,,,0
153,,,0
154,,,0
155,,,0
156,,,0
157,,,0
158,,,0
159,,,0
160,,,0
161,,,0
162,,,0
163,,,0
164,,,0
165,,,0
166,,,0
167,,,0
168,,,0
169,,,0
170,,,0
171,,,0
172,,,0
173,,,0
174,,,0
175,,,0
176,,,0
177,,,0
178,1174,884,1
179,,,0
180,1182,586,1
181,1213,401,1
182,1213,402,1
183,1212,403,1
184,1212,405,1
185,1212,406,1
186,1212,407,1
187,1212,407,1
188,,,0
189,1191,436,1
190,,,0
191,,,0
192,,,0
193,,,0
194,,,0
195,,,0
196,,,0
197,1218,405,1
198,1218,406,1
199,1249,493,1
200,1218,405,1
201,1218,404,1
202,1337,485,1
203,,,0
204,,,0
205,,,0
206,,,0
207,,,0
208,1336,488,1
209,1337,488,1
210,,,0
211,,,0
212,,,0
213,,,0
214,1392,442,1
215,1408,443,1
216,1413,443,1
217,1429,445,1
218,1438,446,1
219,1460,457,1
220,1469,461,1
221,1484,472,1
222,1498,486,1
223,1236,408,1
224,1239,407,1
225,,,0
226,1247,407,1
227,1253,407,1
228,1258,408,1
229,,,0
230,,,0
231,1579,538,1
232,1586,538,1
233,,,0
234,1597,543,1
235,1600,545,1
236,,,0
237,1316,479,1
238,1618,563,1
239,,,0
240,,,0
241,,,0
242,,,0
243,1646,564,1
244,,,0
245,1659,568,1
246,,,0
247,1666,568,1
248,1313,485,1
249,1311,485,1
250,,,0
251,1313,485,1
252,1313,485,1
253,,,0
254,1317,488,1
255,1317,488,1
256,,,0
257,1314,492,1
258,1314,492,1
259,,,0
260,,,0
261,,,0
262,,,0
263,,,0
264,,,0
265,,,0
266,,,0
267,1324,424,1
268,1199,552,1
269,1199,553,1
270,1748,575,1
271,,,0
272,1755,576,1
273,,,0
274,,,0
275,,,0
276,,,0
277,,,0
278,1767,578,1
279,1769,579,1
280,1775,578,1
281,1778,580,1
282,1779,580,1
283,1781,579,1
284,1783,580,1
285,1784,580,1
286,1784,580,1
287,1785,581,1
288,1785,580,1
289,,,0
290,,,0
291,1790,582,1
292,1794,582,1
293,1794,582,1
294,1798,581,1
295,1800,581,1
296,1800,582,1
297,1803,580,1
298,1803,581,1
299,1803,581,1
300,1804,580,1
301,1804,580,1
302,1804,581,1
303,1804,581,1
304,1804,581,1
305,1804,581,1
306,1805,583,1
307,1806,582,1
308,1808,584,1
309,1809,583,1
310,1809,583,1
311,1811,584,1
312,1811,584,1
313,1811,585,1
314,1811,583,1
315,1810,583,1
316,1809,584,1
317,1809,584,1
318,1808,583,1
319,1807,584,1
320,1806,585,1
321,1806,585,1
322,1805,585,1
323,1805,585,1
324,,,0
325,,,0
326,1805,585,1
327,1805,585,1
328,,,0
329,,,0
330,,,0
331,,,0
332,989,449,1
333,989,449,1
334,983,447,1
335,983,447,1
336,,,0
337,,,0
338,,,0
339,973,451,1
340,,,0
341,1805,583,1
342,1805,583,1
343,1805,582,1
344,1805,582,1
345,1806,583,1
346,958,467,1
347,1807,583,1
348,1807,584,1
349,1807,583,1
350,1808,583,1
351,1808,585,1
352,1093,511,1
353,1808,584,1
354,516,718,1
355,1088,512,1
356,1088,512,1
357,1087,512,1
358,1087,513,1
359,,,0
360,1806,584,1
