epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,506.272,1.89307,2.58042,1.8868,0.05173,0.21795,0.02164,0.00651,2.83588,5.75664,3.04796,0.000665303,0.000665303,0.000665303
2,1009.68,1.92806,2.20897,1.90546,0.29068,0.26282,0.18932,0.08468,1.89649,2.51015,1.78942,0.00131549,0.00131549,0.00131549
3,1512.74,1.88721,2.08613,1.86024,0.19419,0.21795,0.08621,0.02835,2.26126,3.58259,2.06926,0.00194917,0.00194917,0.00194917
4,2014.58,1.80075,1.9261,1.79181,0.39893,0.30633,0.24166,0.10479,2.16997,2.29469,1.9026,0.00192575,0.00192575,0.00192575
5,2518.18,1.70398,1.85553,1.74651,0.40073,0.39744,0.33425,0.15223,1.88969,2.0877,1.69511,0.001901,0.001901,0.001901
6,3020.56,1.66657,1.72674,1.69494,0.45402,0.30128,0.34103,0.16274,1.9274,2.52814,1.72534,0.00187625,0.00187625,0.00187625
7,3523.24,1.59966,1.63902,1.65357,0.51785,0.51282,0.46426,0.21017,1.78318,2.02432,1.60765,0.0018515,0.0018515,0.0018515
8,4026.55,1.59816,1.60921,1.65108,0.50259,0.5,0.46014,0.24533,1.80978,2.09755,1.60563,0.00182675,0.00182675,0.00182675
9,4528.76,1.57946,1.59193,1.63091,0.57592,0.47436,0.45803,0.22733,1.89037,2.19182,1.64387,0.001802,0.001802,0.001802
10,5030.33,1.57877,1.57206,1.61937,0.62097,0.5,0.54716,0.25102,1.80419,1.95139,1.6134,0.00177725,0.00177725,0.00177725
11,5532.79,1.54903,1.47346,1.60557,0.40257,0.52266,0.44746,0.22552,1.88622,1.94668,1.62284,0.0017525,0.0017525,0.0017525
12,6035.25,1.54113,1.47719,1.6033,0.63255,0.55175,0.60585,0.31071,1.75292,1.75951,1.54346,0.00172775,0.00172775,0.00172775
13,6537.84,1.50327,1.45533,1.59184,0.67605,0.53511,0.62857,0.33292,1.72929,1.74369,1.54988,0.001703,0.001703,0.001703
